编号,功能,用例标题,前置条件,测试数据,操作步骤,预期结果,实际结果,缺陷单号,用例类型,备注
18,登录,点击退出后登录态失效,用户已成功登录系统,无,"1. 在系统内点击“退出登录”
2. 再访问系统受限页面","1. 系统返回登录页
2. 原会话失效
3. 无法直接访问受限页面",,,功能/安全,
19,登录,会话超时后访问页面跳回登录页,用户已登录；系统设置会话超时时间,无,"1. 登录系统后不操作，等待超时
2. 再点击菜单或刷新页面","1. 页面提示登录已失效或会话超时
2. 跳转登录页
3. 需要重新登录",,,功能/安全,
20,登录,勾选“记住我”后下次打开仍保留账号信息,已进入登录页；系统支持记住我,用户名：testuser01；密码：Abc123456,"1. 勾选“记住我”
2. 登录成功
3. 退出浏览器重新打开登录页","1. 按需求保留用户名或登录状态
2. 行为符合产品设计
3. 不应明文暴露密码",,,功能/安全,
21,登录,未勾选“记住我”时下次不保留登录信息,已进入登录页；系统支持记住我,用户名：testuser01；密码：Abc123456,"1. 不勾选“记住我”
2. 登录成功
3. 退出浏览器重新打开登录页","1. 不保留登录信息或仅保留允许保留的字段
2. 行为符合产品设计",,,功能,
22,登录,按回车键可触发登录,已进入登录页；账号状态正常,用户名：testuser01；密码：Abc123456,"1. 输入正确用户名和密码
2. 不点击按钮，直接按 Enter","1. 系统触发登录动作
2. 登录成功
3. 行为与点击按钮一致",,,易用性,
23,登录,多端同时登录按系统策略处理,同一账号允许或限制多端登录策略已明确,账号A 在设备1已登录,"1. 设备1登录账号A
2. 设备2再登录账号A","1. 若允许多端同时在线，则两端均可使用
2. 若不允许，则旧会话被踢下线
3. 系统行为与需求一致",,,功能/安全,
24,登录,登录失败提示语不泄露敏感信息,已进入登录页,用户名：不存在用户；密码：任意,"1. 输入不存在用户名
2. 输入任意密码
3. 点击登录","1. 页面仅提示“用户名或密码错误”等通用信息
2. 不提示“用户名不存在”",,,安全,
25,登录,输入SQL注入样式内容时系统应安全拦截,已进入登录页,用户名：' OR '1'='1；密码：任意,"1. 输入注入样式用户名
2. 输入任意密码
3. 点击登录","1. 登录失败
2. 系统不报错、不泄露堆栈信息
3. 数据库与系统安全正常",,,安全,
26,登录,输入特殊字符脚本内容时系统应安全处理,已进入登录页,用户名：<script>alert(1)</script>；密码：任意,"1. 输入脚本样式内容
2. 点击登录","1. 页面不执行脚本
2. 登录失败或按规则提示格式非法
3. 系统无异常",,,安全,
27,登录,登录按钮防重复提交,已进入登录页；账号状态正常,用户名：testuser01；密码：Abc123456,"1. 输入正确用户名密码
2. 连续快速点击登录按钮多次","1. 系统仅发起一次有效登录请求或正确去重
2. 不出现重复登录、重复跳转、报错",,,功能/性能,
28,登录,登录成功后浏览器回退不应返回可操作的登录前受限页,用户已登录并访问受限页面,无,"1. 登录成功进入系统
2. 退出登录
3. 点击浏览器回退","1. 不应恢复到可操作的受限页面
2. 若显示缓存页，刷新后必须跳转登录页",,,安全,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
